#{"t_start": 1776532263.2396948, "env_id": "None"}
r,l,t
1.510129,29,7.105699
-1.784958,28,7.696541
-28.673657,47,7.712239
-7.363367,31,7.723974
-15.664837,34,7.734638
-10.031315,35,7.744339
-5.897427,32,7.753805
-18.635928,41,7.773325
-6.221103,31,7.784684
-109.742873,4,7.784684
-17.538634,39,7.800311
-7.047069,32,7.808936
-6.300543,29,7.819122
-113.898443,5,7.821266
-4.998713,31,7.831939
-27.805062,41,7.846712
-6.841616,36,7.858296
-12.190263,33,7.869341
-106.556973,3,7.871502
-9.001254,33,7.88206
-9.33615,34,7.891688
-14.059194,37,7.90134
-22.394635,43,7.915354
-24.879984,41,7.926094
-15.932598,35,7.935527
-113.615923,5,7.940074
-31.470875,48,7.955497
-1.152211,29,7.968817
-106.144872,3,7.970859
-110.043605,4,7.971416
-109.669866,4,7.973464
-22.610523,44,7.988212
-3.412773,29,7.995886
-23.061071,48,8.010587
-9.485908,34,8.025867
-8.642535,31,8.618711
1.172899,27,8.628911
-7.91076,34,8.639877
-3.039826,28,8.65141
-109.569805,4,8.65141
-106.273433,3,8.654713
-103.331493,2,8.654713
-19.303888,43,8.665778
-8.191099,30,8.675864
-19.717488,42,8.695246
-3.196792,30,8.701319
-0.935568,26,8.711825
-0.500388,26,8.719332
-18.219866,41,8.732174
-11.176277,36,8.744225
-19.541507,37,8.758204
-14.252935,32,8.767557
-6.24557,33,8.780891
-9.386062,34,8.789983
-5.198085,31,8.80094
-2.041905,28,8.808586
-2.070798,29,8.81527
-103.51471,2,8.81527
-105.994924,3,8.81527
-8.891044,33,8.826
-0.384484,29,8.834705
-103.080452,2,8.834705
-4.875649,30,8.844579
-17.320869,41,8.854709
-5.743785,31,8.865346
1.460137,29,8.87594
-0.903709,29,8.889984
-11.113265,32,8.900301
2.011108,27,8.908715
-110.008841,4,8.910371
-11.601717,35,8.921334
-24.288615,41,8.934679
-13.740772,37,8.946465
-11.106496,33,9.510062
-2.902408,27,9.51917
-106.824556,3,9.51917
-106.710226,3,9.521319
4.890065,25,9.529128
-4.330354,30,9.539925
3.425878,26,9.550905
5.555607,24,9.559145
5.324625,28,9.565337
-12.822053,37,9.575834
-3.88533,31,9.584737
0.74116,26,9.595779
0.76859,30,9.605479
-9.52079,33,9.615396
-19.345769,39,9.62688
-6.853269,29,9.63464
-25.057244,43,9.647278
-106.260877,3,9.649429
-11.121317,36,9.659408
1.181952,28,9.669398
-7.344951,30,9.678542
2.14151,23,9.684695
-2.734884,28,9.694567
-11.156616,32,9.70557
0.760188,29,9.715827
-109.659128,4,9.715827
-3.382984,32,9.726552
-23.047841,42,9.742254
-13.943116,35,9.751207
-111.923885,5,9.753839
-2.20241,29,9.762085
-14.942037,36,9.775077
-9.821208,35,9.784801
-11.447366,31,9.796036
-114.647615,6,9.800626
-4.395723,33,9.812001
-109.300193,4,9.815414
-2.187651,29,9.823349
-3.977576,29,9.831207
-7.191888,30,10.379987
-20.002114,37,10.391285
-2.725267,29,10.403722
-16.994801,37,10.415478
-13.604821,34,10.42424
-8.573503,29,10.431951
-12.969401,32,10.444114
-11.035108,34,10.4538
-3.110807,27,10.461955
-15.176831,39,10.473628
-112.77807,5,10.47541
-10.167964,30,10.484824
-6.306869,31,10.491968
-0.934755,26,10.500827
-7.103106,32,10.508665
-14.050561,32,10.519339
0.599007,27,10.529268
-12.949094,37,10.534516
-6.199633,30,10.546531
-1.107558,26,10.558225
-9.236599,32,10.568817
2.309995,29,10.576654
-2.032248,28,10.58493
-9.689329,29,10.591515
-5.603715,28,10.601181
-106.603604,3,10.604094
-0.566868,29,10.615458
1.946918,28,10.623827
0.994496,27,10.631294
-103.155121,2,10.632055
-7.224997,33,10.639872
-11.864456,34,10.65417
-103.400927,2,10.655821
-6.210787,29,10.683914
0.242018,29,10.691347
-106.25795,3,10.695709
-8.445091,29,10.703775
2.657178,28,10.712073
-16.942407,35,11.273466
-5.430688,29,11.284757
-13.437998,33,11.294247
-2.754989,28,11.301554
-103.452077,2,11.301554
-11.526642,31,11.311828
2.089975,26,11.319968
-6.121723,30,11.325964
3.847983,24,11.334849
-9.59361,32,11.344644
0.418347,27,11.353834
4.690536,27,11.362108
-106.520815,3,11.365767
-0.229174,29,11.37554
-106.244549,3,11.376193
-13.257242,34,11.384605
-106.715558,3,11.384605
2.016025,28,11.396048
-10.464721,33,11.404001
6.003032,24,11.415372
-109.695317,4,11.415372
-0.017066,28,11.423859
-3.02954,26,11.432109
-9.690469,33,11.441631
-8.952825,32,11.451498
-108.620219,4,11.452102
-1.175574,26,11.461665
-8.391489,31,11.468905
-1.28593,27,11.476108
-16.785604,33,11.484833
-4.879954,32,11.495953
