id,type,bstar,inclo,nodeo,ecco,argpo,mo,no_kozai
00900,payload,0.10199766807484559,0.8576674680867422,-0.8623456744384372,-0.12749987070609536,0.9657924942842618,-0.4522224516468089,0.6891046289913803
00902,payload,-0.07124601636253877,0.8579836263293861,-0.8237773765101465,-0.13300281291323743,0.15015939761319,0.06290390868569452,0.6528491489398088
01361,payload,-0.2734305606239693,-0.5995284549918793,-0.752106022337295,-0.1386392526247086,-0.7752951800977511,0.6710543917500955,0.09405551775958186
01512,payload,-0.06535183778024592,0.8520468771064013,0.5296979777185757,-0.07739015994175602,0.2933082572946711,0.7556034045799599,0.6231829040293025
01520,payload,-0.0594657134704679,0.8498939900255388,-0.334390708226728,-0.07520167626422886,-1.0727642507820312,1.258124398203399,0.627283935629706
02826,payload,0.2633123553583469,0.34838170465021057,1.4739733109183795,-0.14775100441609296,0.6400916978978847,-0.7311110176406977,0.8420029981586145
02866,payload,-0.09361582893333455,-1.3466279467068791,-0.5647734574836152,-0.09139973820344613,0.380613972111819,0.3633608450933754,-1.2582534056755483
02872,payload,-0.06017820680831798,0.3497140858156397,0.7991091535996838,-0.14267262804239117,0.9085424786312473,-0.9974538804674693,0.7245927204012038
02874,payload,-0.07542215666147659,0.3498295086661287,1.8945755928384331,-0.14357866028488742,1.4871436124930975,-1.5696917228558207,0.720348016293432
05204,payload,-0.09361582893333455,-1.4001590574098224,1.90162992877372,-0.1263060528600043,1.2567843201902464,-0.867141968649166,-1.2755643267455972
05398,payload,-0.018751365908017202,0.7926919308385604,-1.4410341976868746,-0.08981965298827152,0.694704924622839,-0.790208718254261,0.7832251047185137
07530,payload,-0.047675497627609545,1.153295498498262,-0.8638095437917348,-0.1398713689351564,1.7127494899473907,-1.5275163349057355,0.5003950347579728
07646,payload,-0.09442807133848365,-0.1558656004432297,0.23679791142517337,0.07184254202882095,-1.0889097216298813,0.9991326611335972,0.6981239307261744
08820,payload,-0.09361582893333455,1.3495871109094615,-0.16398971450051178,-0.10420783892617382,1.5319904141508074,-1.8066868592510832,-0.44485666847917504
13086,payload,-0.09361582893333455,-1.1672257083531232,1.4753566092131065,-0.14677165797039954,1.4961380573210785,0.2690347099057661,-1.2755209472725442
